Metric,Score (scAnalyzer)
reactome_2022_gs_n_active,893.0
bioplanet_2019_gs_n_active,816.0
hallmark_2020_gs_n_active,32.0
wikipathways_2019_gs_n_active,266.0
kegg_2021_gs_n_active,215.0
go_bp_2023_gs_n_active,1965.0
wikipathways_2019_gs_precision,0.9518072289156626
kegg_2021_gs_precision,0.9354838709677419
bioplanet_2019_gs_precision,0.8908296943231441
reactome_2022_gs_precision,0.8450704225352113
go_bp_2023_gs_precision,0.8044444444444444
hallmark_2020_gs_precision,0.782608695652174
hallmark_2020_gs_f1,0.6545454545454547
kegg_2021_gs_f1,0.564935064935065
hallmark_2020_gs_recall,0.5625
wikipathways_2019_gs_f1,0.45272206303724927
gs_f1,0.425571215950485
kegg_2021_gs_recall,0.4046511627906977
bioplanet_2019_gs_f1,0.3904306220095694
replicate_consistency,0.32609311268741226
reactome_2022_gs_f1,0.325497287522604
wikipathways_2019_gs_recall,0.29699248120300753
bioplanet_2019_gs_recall,0.25
reactome_2022_gs_recall,0.20156774916013437
go_bp_2023_gs_f1,0.16529680365296803
go_bp_2023_gs_recall,0.09211195928753181
r2_raw,0.0904371107767925
r_precision,0.06875089706266967
r_recall,0.06875089706266967
