Metric,Score (scAnalyzer_LightGBM)
bioplanet_2019_gs_n_active,973.0
hallmark_2020_gs_n_active,41.0
wikipathways_2019_gs_n_active,310.0
go_bp_2023_gs_n_active,2487.0
kegg_2021_gs_n_active,230.0
reactome_2022_gs_n_active,1143.0
hallmark_2020_gs_precision,0.8205128205128205
hallmark_2020_gs_f1,0.8
wikipathways_2019_gs_precision,0.7981651376146789
hallmark_2020_gs_recall,0.7804878048780488
bioplanet_2019_gs_precision,0.7349397590361446
kegg_2021_gs_precision,0.7115384615384616
reactome_2022_gs_precision,0.6864406779661016
go_bp_2023_gs_precision,0.6372093023255814
kegg_2021_gs_f1,0.44311377245508976
wikipathways_2019_gs_f1,0.41527446300715987
gs_f1,0.35041451207114394
kegg_2021_gs_recall,0.3217391304347826
wikipathways_2019_gs_recall,0.2806451612903226
r2_raw,0.23909358848098158
r_precision,0.2369460227607032
r_recall,0.2369460227607032
bioplanet_2019_gs_f1,0.21422300263388938
reactome_2022_gs_f1,0.12846946867565426
bioplanet_2019_gs_recall,0.12538540596094552
go_bp_2023_gs_f1,0.10140636565507032
reactome_2022_gs_recall,0.07086614173228346
go_bp_2023_gs_recall,0.0550864495375955
vc,0.00019861373220919631
