Metric,Score (scAnalyzer)
bioplanet_2019_gs_n_active,973.0
hallmark_2020_gs_n_active,41.0
wikipathways_2019_gs_n_active,310.0
go_bp_2023_gs_n_active,2487.0
kegg_2021_gs_n_active,230.0
reactome_2022_gs_n_active,1143.0
reactome_2022_gs_precision,0.9291044776119403
hallmark_2020_gs_precision,0.8666666666666667
go_bp_2023_gs_precision,0.864406779661017
wikipathways_2019_gs_precision,0.8541666666666666
bioplanet_2019_gs_precision,0.8435754189944135
kegg_2021_gs_precision,0.7627118644067796
hallmark_2020_gs_f1,0.7323943661971831
hallmark_2020_gs_recall,0.6341463414634146
reactome_2022_gs_f1,0.3529411764705882
gs_f1,0.3452131060736526
kegg_2021_gs_f1,0.3114186851211073
bioplanet_2019_gs_f1,0.2621527777777778
wikipathways_2019_gs_f1,0.22905027932960897
r2_raw,0.2239225716003808
reactome_2022_gs_recall,0.2178477690288714
kegg_2021_gs_recall,0.1956521739130435
r_recall,0.1891794924488968
r_precision,0.1891794924484833
go_bp_2023_gs_f1,0.1833213515456506
bioplanet_2019_gs_recall,0.1551901336073998
wikipathways_2019_gs_recall,0.13225806451612904
go_bp_2023_gs_recall,0.10253317249698432
vc,0.00010267037941957824
